,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
10,2021-08-14,Sun,Matchweek 13,Away,D 1–1,Manchester Utd,Chelsea,N,"On matchday squad, but did not play",/en/matches/08b3c5d8/Chelsea-Manchester-United-November-28-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
11,2021-08-14,Thu,Matchweek 14,Home,W 3–2,Manchester Utd,Arsenal,N,"On matchday squad, but did not play",/en/matches/4323a38f/Manchester-United-Arsenal-December-2-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
12,2021-08-14,Sun,Matchweek 15,Home,W 1–0,Manchester Utd,Crystal Palace,N,RM,29,12,13,92.3,152,60,7,8,87.5,3,3,100.0,1,1,100.0,1,0.0,0.0,1,1,0,0,1,/en/matches/8d10c8d4/Manchester-United-Crystal-Palace-December-5-2021-Premier-League
13,2021-08-14,Sat,Matchweek 16,Away,W 1–0,Manchester Utd,Norwich City,N,AM,24,5,5,100.0,88,32,2,2,100.0,3,3,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,/en/matches/11a67612/Norwich-City-Manchester-United-December-11-2021-Premier-League
14,2021-08-14,Mon,Matchweek 19,Away,D 1–1,Manchester Utd,Newcastle Utd,Y,FW,45,10,16,62.5,93,12,9,10,90.0,1,3,33.3,0,2,0.0,0,0.0,0.0,0,0,0,0,0,/en/matches/f91fee43/Newcastle-United-Manchester-United-December-27-2021-Premier-League
15,2021-08-14,Thu,Matchweek 20,Home,W 3–1,Manchester Utd,Burnley,Y,AM,80,31,43,72.1,596,110,12,16,75.0,13,14,92.9,5,9,55.6,0,0.2,0.5,2,2,2,2,2,/en/matches/bbfa96c9/Manchester-United-Burnley-December-30-2021-Premier-League
16,2021-08-14,Mon,Matchweek 21,Home,L 0–1,Manchester Utd,Wolves,Y,AM,59,17,23,73.9,347,83,7,9,77.8,6,7,85.7,3,5,60.0,0,0.1,0.0,1,2,0,0,1,/en/matches/8e966b52/Manchester-United-Wolverhampton-Wanderers-January-3-2022-Premier-League
17,2021-08-14,Sat,Matchweek 22,Away,D 2–2,Manchester Utd,Aston Villa,Y,RW,88,24,26,92.3,488,94,10,10,100.0,9,10,90.0,5,6,83.3,0,0.0,0.0,0,3,0,0,2,/en/matches/745dc664/Aston-Villa-Manchester-United-January-15-2022-Premier-League
18,2021-08-14,Wed,Matchweek 17,Away,W 3–1,Manchester Utd,Brentford,Y,RW,70,28,37,75.7,328,61,21,25,84.0,6,8,75.0,0,1,0.0,0,0.0,0.0,1,1,1,0,3,/en/matches/f7c0bd68/Brentford-Manchester-United-January-19-2022-Premier-League
19,2021-08-14,Sat,Matchweek 23,Home,W 1–0,Manchester Utd,West Ham,Y,RW,81,28,32,87.5,467,157,13,15,86.7,14,16,87.5,1,1,100.0,0,0.0,0.1,0,4,2,0,4,/en/matches/7c23f694/Manchester-United-West-Ham-United-January-22-2022-Premier-League
