,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,2021-04-24,Sat,Premier League,Matchweek 33,Away,D 1–1,Newcastle Utd,Liverpool,Y,CM,84,0,0,0,0,0,0,0,0,34.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,22.0,25.0,88.0,1.0,29.0,0.0,5.0,1.0,/en/matches/81e8aaf4/Liverpool-Newcastle-United-April-24-2021-Premier-League,0.5,0.8333333333333334,0.5
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,2021-05-02,Sun,Premier League,Matchweek 34,Home,L 0–2,Newcastle Utd,Arsenal,Y,CM,72,0,0,0,0,0,0,1,0,29.0,1.0,0,2.0,0.0,0.0,0.0,0.0,0.0,19.0,23.0,82.6,1.0,23.0,3.0,0.0,0.0,/en/matches/af2c27de/Newcastle-United-Arsenal-May-2-2021-Premier-League,0.0,0.8333333333333334,0.5
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,2021-05-07,Fri,Premier League,Matchweek 35,Away,W 4–2,Newcastle Utd,Leicester City,Y,CM,87,0,0,0,0,1,0,0,0,47.0,3.0,2,1.0,0.0,0.0,0.5,2.0,0.0,23.0,31.0,74.2,2.0,28.0,1.0,1.0,0.0,/en/matches/d93b0c17/Leicester-City-Newcastle-United-May-7-2021-Premier-League,1.0,0.5,0.5
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,2021-05-14,Fri,Premier League,Matchweek 36,Home,L 3–4,Newcastle Utd,Manchester City,Y,CM,90,0,0,0,0,0,0,0,0,32.0,1.0,2,2.0,0.0,0.0,0.1,6.0,0.0,17.0,22.0,77.3,4.0,20.0,3.0,3.0,1.0,/en/matches/27601c16/Newcastle-United-Manchester-City-May-14-2021-Premier-League,0.0,0.5,0.5
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2021-05-19,Wed,Premier League,Matchweek 37,Home,W 1–0,Newcastle Utd,Sheffield Utd,Y,"CM,FW",90,0,0,0,0,2,1,0,0,53.0,0.0,1,0.0,0.1,0.1,0.0,0.0,0.0,39.0,44.0,88.6,7.0,36.0,5.0,2.0,1.0,/en/matches/62adcd41/Newcastle-United-Sheffield-United-May-19-2021-Premier-League,1.0,0.3333333333333333,0.5
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,2021-05-23,Sun,Premier League,Matchweek 38,Away,W 2–0,Newcastle Utd,Fulham,Y,FW,79,0,0,0,0,1,1,0,0,26.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,23.0,69.6,2.0,21.0,2.0,0.0,0.0,/en/matches/f966eee0/Fulham-Newcastle-United-May-23-2021-Premier-League,1.0,0.6666666666666666,0.5
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,2021-06-03,Thu,WCQ,WCQ — CONMEBOL (M),Away,D 0–0,py Paraguay,uy Uruguay,Y,FW,89,0,0,0,0,1,0,0,0,,,1,,,,,,,,,,,,,,,/en/matches/7303b11e/Uruguay-Paraguay-June-3-2021-WCQ----CONMEBOL-M,0.5,0.6666666666666666,0.5
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,2021-06-08,Tue,WCQ,WCQ — CONMEBOL (M),Home,L 0–2,py Paraguay,br Brazil,Y,FW,90,0,0,0,0,4,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/9476d029/Paraguay-Brazil-June-8-2021-WCQ----CONMEBOL-M,0.0,0.8333333333333334,0.5
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,2021-06-14,Mon,Copa América,Group stage,Neutral,W 3–1,py Paraguay,bo Bolivia,Y,"AM,CM",90,0,0,0,0,4,2,0,0,92.0,1.0,0,0.0,0.3,0.3,0.1,11.0,1.0,75.0,80.0,93.8,16.0,81.0,7.0,8.0,5.0,/en/matches/6fbcb519/Paraguay-Bolivia-June-14-2021-Copa-America,1.0,0.5,0.5
45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,2021-06-21,Mon,Copa América,Group stage,Neutral,L 0–1,py Paraguay,ar Argentina,Y,LW,90,0,0,0,0,2,0,0,0,64.0,0.0,0,2.0,0.1,0.1,0.1,3.0,0.0,37.0,45.0,82.2,5.0,51.0,9.0,12.0,6.0,/en/matches/754d9115/Argentina-Paraguay-June-21-2021-Copa-America,0.0,0.5,0.5
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,2021-06-24,Thu,Copa América,Group stage,Neutral,W 2–0,py Paraguay,cl Chile,Y,FW,76,1,1,1,1,0,0,0,0,36.0,1.0,1,1.0,0.8,0.0,0.4,2.0,1.0,20.0,24.0,83.3,2.0,26.0,5.0,3.0,2.0,/en/matches/113be367/Chile-Paraguay-June-24-2021-Copa-America,1.0,0.3333333333333333,0.5
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,2021-06-28,Mon,Copa América,Group stage,Neutral,L 0–1,py Paraguay,uy Uruguay,Y,FW,32,0,0,0,0,0,0,0,0,15.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,13.0,84.6,3.0,11.0,1.0,1.0,1.0,/en/matches/e000faa4/Uruguay-Paraguay-June-28-2021-Copa-America,0.0,0.6666666666666666,0.5
