,Unnamed: 0.29,Unnamed: 0.28,Unnamed: 0.27,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2021-11-05,Fri,Premier League,Matchweek 11,Away,L 0–1,Aston Villa,Southampton,Y,LB,90,0,0,0,0,0,0,0,0,71.0,1.0,1,1.0,0.0,0.0,0.1,2.0,0.0,47.0,63.0,74.6,10.0,36.0,4.0,1.0,1.0,/en/matches/868bd31f/Southampton-Aston-Villa-November-5-2021-Premier-League,0.0,0.0,0.6785714285714285
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2021-11-20,Sat,Premier League,Matchweek 12,Home,W 2–0,Aston Villa,Brighton,Y,LB,90,0,0,0,0,0,0,0,0,69.0,7.0,0,0.0,0.0,0.0,0.2,4.0,1.0,41.0,53.0,77.4,3.0,33.0,1.0,0.0,0.0,/en/matches/88f081ac/Aston-Villa-Brighton-and-Hove-Albion-November-20-2021-Premier-League,1.0,0.0,0.4642857142857142
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2021-11-27,Sat,Premier League,Matchweek 13,Away,W 2–1,Aston Villa,Crystal Palace,Y,LB,90,1,0,0,0,1,1,0,0,62.0,2.0,0,2.0,0.1,0.1,0.0,1.0,0.0,42.0,50.0,84.0,5.0,26.0,0.0,0.0,0.0,/en/matches/4a7a9e3b/Crystal-Palace-Aston-Villa-November-27-2021-Premier-League,1.0,0.3333333333333333,0.7380952380952381
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2021-12-01,Wed,Premier League,Matchweek 14,Home,L 1–2,Aston Villa,Manchester City,Y,LB,66,0,0,0,0,0,0,0,0,40.0,2.0,1,1.0,0.0,0.0,0.0,0.0,0.0,27.0,32.0,84.4,0.0,13.0,0.0,0.0,0.0,/en/matches/1993b7ec/Aston-Villa-Manchester-City-December-1-2021-Premier-League,0.0,0.6666666666666666,0.8888888888888888
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2021-12-11,Sat,Premier League,Matchweek 16,Away,L 0–1,Aston Villa,Liverpool,Y,LB,90,0,0,0,0,0,0,0,0,50.0,4.0,1,2.0,0.0,0.0,0.0,2.0,0.0,26.0,41.0,63.4,5.0,23.0,2.0,0.0,0.0,/en/matches/678d7dca/Liverpool-Aston-Villa-December-11-2021-Premier-League,0.0,0.6666666666666666,1.0
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,2021-12-14,Tue,Premier League,Matchweek 17,Away,W 2–0,Aston Villa,Norwich City,Y,LB,90,0,0,0,0,2,0,0,0,57.0,5.0,1,0.0,0.1,0.1,0.0,2.0,0.0,32.0,45.0,71.1,2.0,24.0,0.0,1.0,0.0,/en/matches/c78a1d7d/Norwich-City-Aston-Villa-December-14-2021-Premier-League,1.0,0.3333333333333333,0.2857142857142856
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,2021-12-26,Sun,Premier League,Matchweek 19,Home,L 1–3,Aston Villa,Chelsea,Y,LB,90,0,0,0,0,0,0,0,0,51.0,2.0,3,2.0,0.0,0.0,0.1,4.0,0.0,28.0,40.0,70.0,4.0,24.0,0.0,0.0,0.0,/en/matches/61396bd8/Aston-Villa-Chelsea-December-26-2021-Premier-League,0.0,0.3333333333333333,0.6547619047619048
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,2022-01-02,Sun,Premier League,Matchweek 21,Away,L 1–2,Aston Villa,Brentford,Y,LB,90,0,0,0,0,2,1,0,0,82.0,2.0,3,1.0,0.0,0.0,0.1,3.0,0.0,54.0,69.0,78.3,3.0,46.0,3.0,1.0,0.0,/en/matches/dfaa1817/Brentford-Aston-Villa-January-2-2022-Premier-League,0.0,0.3333333333333333,0.5
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,2022-01-10,Mon,FA Cup,Third round proper,Away,L 0–1,Aston Villa,Manchester Utd,Y,LB,90,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/bbe2d026/Manchester-United-Aston-Villa-January-10-2022-FA-Cup,0.0,0.3333333333333333,0.5
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,2022-02-08,Tue,Premier League,Matchweek 24,Home,W 3–1,Newcastle Utd,Everton,Y,LB,90,0,0,0,0,0,0,0,0,59.0,1.0,2,1.0,0.0,0.0,0.1,1.0,0.0,34.0,50.0,68.0,4.0,20.0,1.0,2.0,1.0,/en/matches/fde8d97d/Newcastle-United-Everton-February-8-2022-Premier-League,1.0,0.0,0.5
