,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,2021-04-04,Sun,Premier League,Matchweek 30,Home,W 3–2,Southampton,Burnley,Y,"FW,AM",90,1,1,0,0,4,2,0,0,44.0,0.0,1,2.0,0.3,0.3,0.9,10.0,1.0,21.0,29.0,72.4,5.0,26.0,4.0,7.0,4.0,/en/matches/2c313b76/Southampton-Burnley-April-4-2021-Premier-League,1.0,0.3333333333333333,0.5
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,2021-04-12,Mon,Premier League,Matchweek 31,Away,L 0–3,Southampton,West Brom,Y,"FW,RM",90,0,0,0,0,3,0,0,0,51.0,0.0,1,0.0,0.1,0.1,0.1,2.0,0.0,35.0,44.0,79.5,8.0,29.0,3.0,3.0,2.0,/en/matches/3dee3681/West-Bromwich-Albion-Southampton-April-12-2021-Premier-League,0.0,0.6666666666666666,0.5
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2021-04-18,Sun,FA Cup,Semi-finals,Away,L 0–1,Southampton,Leicester City,Y,FW,58,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/dbbe48a0/Leicester-City-Southampton-April-18-2021-FA-Cup,0.0,0.6666666666666666,0.5
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,2021-04-21,Wed,Premier League,Matchweek 29,Away,L 1–2,Southampton,Tottenham,N,FW,7,0,0,0,0,0,0,0,0,5.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,/en/matches/81a7befa/Tottenham-Hotspur-Southampton-April-21-2021-Premier-League,0.0,0.3333333333333333,0.5
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,2021-04-30,Fri,Premier League,Matchweek 34,Home,D 1–1,Southampton,Leicester City,Y,FW,90,0,0,0,0,1,1,0,0,34.0,2.0,0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,18.0,55.6,0.0,18.0,0.0,2.0,1.0,/en/matches/c0d4f879/Southampton-Leicester-City-April-30-2021-Premier-League,0.5,0.0,0.5
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,2021-05-08,Sat,Premier League,Matchweek 35,Away,L 0–2,Southampton,Liverpool,Y,LM,90,0,0,0,0,4,1,1,0,70.0,2.0,1,0.0,0.1,0.1,0.3,3.0,0.0,43.0,53.0,81.1,2.0,39.0,4.0,3.0,3.0,/en/matches/e5923f92/Liverpool-Southampton-May-8-2021-Premier-League,0.0,0.1666666666666666,0.5
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,2021-05-11,Tue,Premier League,Matchweek 32,Home,W 3–1,Southampton,Crystal Palace,Y,LM,90,0,1,0,0,3,1,0,0,67.0,0.0,0,3.0,0.1,0.1,0.2,6.0,1.0,44.0,54.0,81.5,5.0,36.0,3.0,1.0,1.0,/en/matches/5e4ec091/Southampton-Crystal-Palace-May-11-2021-Premier-League,1.0,0.1666666666666666,0.5
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,2021-05-15,Sat,Premier League,Matchweek 36,Home,W 3–1,Southampton,Fulham,Y,LM,90,0,0,0,0,3,1,0,0,76.0,3.0,1,6.0,0.2,0.2,0.0,1.0,0.0,40.0,57.0,70.2,2.0,35.0,4.0,0.0,0.0,/en/matches/34739ed7/Southampton-Fulham-May-15-2021-Premier-League,1.0,0.5,0.5
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,2021-05-18,Tue,Premier League,Matchweek 37,Home,L 0–2,Southampton,Leeds United,N,FW,21,0,0,0,0,3,0,0,0,15.0,1.0,0,0.0,0.1,0.1,0.0,0.0,0.0,7.0,10.0,70.0,1.0,6.0,0.0,1.0,0.0,/en/matches/de4e566f/Southampton-Leeds-United-May-18-2021-Premier-League,0.0,0.6666666666666666,0.5
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,2021-05-23,Sun,Premier League,Matchweek 38,Away,L 0–3,Southampton,West Ham,Y,LM,90,0,0,0,0,1,0,0,0,48.0,1.0,1,0.0,0.1,0.1,0.4,11.0,0.0,32.0,38.0,84.2,2.0,32.0,13.0,7.0,5.0,/en/matches/50ec33b2/West-Ham-United-Southampton-May-23-2021-Premier-League,0.0,0.6666666666666666,0.5
