,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
17,2021-08-14,Thu,Matchweek 24,Away,L 0–2,Leicester City,Liverpool,Y,CB,90,37,40,92.5,676,220,13,13,100.0,23,26,88.5,1,1,100.0,0,0.0,0.0,0,0,0,0,1,/en/matches/911fa284/Liverpool-Leicester-City-February-10-2022-Premier-League
18,2021-08-14,Sun,Matchweek 25,Home,D 2–2,Leicester City,West Ham,Y,CB,90,71,80,88.8,1197,355,31,34,91.2,37,39,94.9,3,5,60.0,0,0.0,0.0,1,0,0,0,0,/en/matches/c2c20295/Leicester-City-West-Ham-United-February-13-2022-Premier-League
19,2021-08-14,Sun,Matchweek 26,Away,L 1–2,Leicester City,Wolves,Y,CB,90,69,72,95.8,1319,501,25,26,96.2,37,37,100.0,7,8,87.5,0,0.0,0.0,0,3,0,0,3,/en/matches/63d95af6/Wolverhampton-Wanderers-Leicester-City-February-20-2022-Premier-League
20,2021-08-14,Tue,Matchweek 22,Away,W 2–0,Leicester City,Burnley,Y,CB,90,38,40,95.0,741,273,10,10,100.0,25,26,96.2,3,4,75.0,0,0.0,0.1,1,0,0,0,1,/en/matches/a47f5f21/Burnley-Leicester-City-March-1-2022-Premier-League
21,2021-08-14,Sat,Matchweek 28,Home,W 1–0,Leicester City,Leeds United,Y,CB,90,46,49,93.9,945,256,11,11,100.0,31,33,93.9,4,5,80.0,0,0.0,0.0,0,2,0,0,0,/en/matches/1d777dcd/Leicester-City-Leeds-United-March-5-2022-Premier-League
22,2021-08-14,Sun,Matchweek 29,Away,L 0–2,Leicester City,Arsenal,Y,CB,90,67,68,98.5,1137,421,31,32,96.9,26,26,100.0,8,8,100.0,0,0.0,0.0,0,1,0,0,0,/en/matches/47ea9ab2/Arsenal-Leicester-City-March-13-2022-Premier-League
23,2021-08-14,Sun,Matchweek 30,Home,W 2–1,Leicester City,Brentford,Y,"CB,RB",90,65,73,89.0,1037,396,26,28,92.9,35,37,94.6,2,3,66.7,0,0.0,0.0,0,6,0,0,3,/en/matches/c8c7dd9b/Leicester-City-Brentford-March-20-2022-Premier-League
24,2021-08-14,Sat,Matchweek 31,Away,D 1–1,Leicester City,Manchester Utd,N,CB,27,9,11,81.8,180,71,1,1,100.0,8,9,88.9,0,1,0.0,0,0.0,0.0,0,0,0,0,0,/en/matches/00863ee3/Manchester-United-Leicester-City-April-2-2022-Premier-League
25,2021-08-14,Sun,Matchweek 32,Home,W 2–1,Leicester City,Crystal Palace,Y,CB,90,67,71,94.4,1339,321,17,18,94.4,36,38,94.7,11,12,91.7,0,0.0,0.0,0,0,0,0,0,/en/matches/816c435d/Leicester-City-Crystal-Palace-April-10-2022-Premier-League
26,2021-08-14,Sun,Matchweek 33,Away,L 1–2,Leicester City,Newcastle Utd,Y,CB,90,85,93,91.4,1474,502,37,39,94.9,42,43,97.7,5,10,50.0,0,0.1,0.0,1,5,0,0,4,/en/matches/89803b3a/Newcastle-United-Leicester-City-April-17-2022-Premier-League
27,2021-08-14,Wed,Matchweek 18,Away,D 1–1,Leicester City,Everton,N,DM,7,2,3,66.7,31,0,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,/en/matches/46471203/Everton-Leicester-City-April-20-2022-Premier-League
