,Unnamed: 0.31,Unnamed: 0.30,Unnamed: 0.29,Unnamed: 0.28,Unnamed: 0.27,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,2021-11-20,Sat,Premier League,Matchweek 12,Away,L 1–4,Manchester Utd,Watford,Y,"LM,AM",90,0,0,0,0,2.0,0.0,0,0,72.0,2.0,0.0,0.0,0.3,0.3,0.3,1.0,0.0,50.0,65.0,76.9,5.0,31.0,0.0,0.0,0.0,/en/matches/31a03035/Watford-Manchester-United-November-20-2021-Premier-League,0.0,0.1666666666666666,0.4047619047619047
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,2021-11-23,Tue,Champions Lg,Group stage,Away,W 2–0,eng Manchester Utd,es Villarreal,N,AM,25,0,1,0,0,1.0,0.0,0,0,26.0,0.0,1.0,0.0,0.0,0.0,0.4,2.0,1.0,20.0,23.0,87.0,5.0,13.0,0.0,1.0,0.0,/en/matches/fd901849/Villarreal-Manchester-United-November-23-2021-Champions-League,1.0,0.1666666666666666,0.5
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2021-11-28,Sun,Premier League,Matchweek 13,Away,D 1–1,Manchester Utd,Chelsea,Y*,AM,88,0,0,0,0,1.0,0.0,1,0,51.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,28.0,38.0,73.7,1.0,25.0,1.0,3.0,1.0,/en/matches/08b3c5d8/Chelsea-Manchester-United-November-28-2021-Premier-League,0.5,0.3333333333333333,0.880952380952381
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,2021-12-02,Thu,Premier League,Matchweek 14,Home,W 3–2,Manchester Utd,Arsenal,Y,AM,89,1,0,0,0,2.0,1.0,0,0,56.0,2.0,0.0,2.0,0.3,0.3,0.2,4.0,0.0,32.0,46.0,69.6,7.0,35.0,5.0,1.0,0.0,/en/matches/4323a38f/Manchester-United-Arsenal-December-2-2021-Premier-League,1.0,0.5,0.6785714285714285
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,2021-12-05,Sun,Premier League,Matchweek 15,Home,W 1–0,Manchester Utd,Crystal Palace,Y,"AM,LM,RM",85,0,0,0,0,3.0,1.0,0,0,72.0,1.0,0.0,2.0,0.2,0.2,0.2,6.0,0.0,43.0,62.0,69.4,6.0,42.0,1.0,1.0,0.0,/en/matches/8d10c8d4/Manchester-United-Crystal-Palace-December-5-2021-Premier-League,1.0,0.8333333333333334,0.226190476190476
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,2021-12-11,Sat,Premier League,Matchweek 16,Away,W 1–0,Manchester Utd,Norwich City,Y,AM,87,0,0,0,0,1.0,0.0,0,0,73.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,40.0,65.0,61.5,7.0,33.0,3.0,2.0,1.0,/en/matches/11a67612/Norwich-City-Manchester-United-December-11-2021-Premier-League,1.0,0.8333333333333334,0.4285714285714285
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,2021-12-27,Mon,Premier League,Matchweek 19,Away,D 1–1,Manchester Utd,Newcastle Utd,Y,"DM,AM",90,0,0,0,0,0.0,0.0,1,0,85.0,0.0,0.0,3.0,0.0,0.0,0.3,4.0,0.0,55.0,78.0,70.5,11.0,66.0,0.0,4.0,1.0,/en/matches/f91fee43/Newcastle-United-Manchester-United-December-27-2021-Premier-League,0.5,1.0,0.13095238095238093
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,2022-01-03,Mon,Premier League,Matchweek 21,Home,L 0–1,Manchester Utd,Wolves,N,"CM,AM",31,0,0,0,0,2.0,1.0,0,0,30.0,0.0,1.0,0.0,0.4,0.4,0.1,1.0,0.0,17.0,24.0,70.8,4.0,17.0,2.0,1.0,1.0,/en/matches/8e966b52/Manchester-United-Wolverhampton-Wanderers-January-3-2022-Premier-League,0.0,0.8333333333333334,0.5
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,2022-01-10,Mon,FA Cup,Third round proper,Home,W 1–0,Manchester Utd,Aston Villa,Y*,LW,85,0,0,0,0,3.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/bbe2d026/Manchester-United-Aston-Villa-January-10-2022-FA-Cup,1.0,0.5,0.5
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,2022-01-15,Sat,Premier League,Matchweek 22,Away,D 2–2,Manchester Utd,Aston Villa,Y*,LM,88,2,0,0,0,2.0,2.0,1,0,72.0,4.0,2.0,2.0,0.2,0.2,0.1,1.0,0.0,43.0,55.0,78.2,5.0,42.0,6.0,0.0,0.0,/en/matches/745dc664/Aston-Villa-Manchester-United-January-15-2022-Premier-League,0.5,0.5,0.5
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,2022-01-19,Wed,Premier League,Matchweek 17,Away,W 3–1,Manchester Utd,Brentford,Y*,"AM,FW",90,0,2,0,0,2.0,1.0,0,0,77.0,1.0,1.0,2.0,0.4,0.4,1.3,5.0,2.0,47.0,64.0,73.4,12.0,42.0,4.0,1.0,0.0,/en/matches/f7c0bd68/Brentford-Manchester-United-January-19-2022-Premier-League,1.0,0.5,0.5
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,2022-01-22,Sat,Premier League,Matchweek 23,Home,W 1–0,Manchester Utd,West Ham,Y,"AM,DM",90,0,0,0,0,2.0,0.0,0,0,63.0,0.0,1.0,0.0,0.1,0.1,0.4,6.0,0.0,41.0,55.0,74.5,8.0,46.0,1.0,1.0,1.0,/en/matches/7c23f694/Manchester-United-West-Ham-United-January-22-2022-Premier-League,1.0,0.8333333333333334,0.5
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,2022-02-04,Fri,FA Cup,Fourth round proper,Home,D 1 (7)–1 (8),Manchester Utd,Middlesbrough,Y,AM,120,0,1,0,0,6.0,1.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/77616e9d/Manchester-United-Middlesbrough-February-4-2022-FA-Cup,0.5,0.8333333333333334,0.5
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,2022-02-08,Tue,Premier League,Matchweek 24,Away,D 1–1,Manchester Utd,Burnley,Y,AM,90,0,0,0,0,4.0,1.0,0,0,86.0,2.0,0.0,0.0,0.2,0.2,0.2,10.0,0.0,57.0,74.0,77.0,11.0,52.0,3.0,0.0,0.0,/en/matches/cb262ab8/Burnley-Manchester-United-February-8-2022-Premier-League,0.5,0.8333333333333334,0.5
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,2022-02-12,Sat,Premier League,Matchweek 25,Home,D 1–1,Manchester Utd,Southampton,Y,"AM,DM",90,0,0,0,0,0.0,0.0,0,0,60.0,2.0,0.0,1.0,0.0,0.0,0.1,4.0,1.0,36.0,54.0,66.7,7.0,34.0,0.0,1.0,1.0,/en/matches/d15dca2c/Manchester-United-Southampton-February-12-2022-Premier-League,0.5,0.6666666666666666,0.5
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,2022-02-15,Tue,Premier League,Matchweek 18,Home,W 2–0,Manchester Utd,Brighton,Y,AM,90,1,0,0,0,4.0,3.0,1,0,77.0,1.0,1.0,2.0,0.7,0.7,0.4,7.0,0.0,46.0,66.0,69.7,1.0,38.0,3.0,1.0,1.0,/en/matches/a1fb5fa2/Manchester-United-Brighton-and-Hove-Albion-February-15-2022-Premier-League,1.0,0.5,0.5
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,2022-02-20,Sun,Premier League,Matchweek 26,Away,W 4–2,Manchester Utd,Leeds United,Y,"AM,FW",90,1,1,0,0,3.0,2.0,0,0,47.0,3.0,0.0,1.0,0.4,0.4,0.4,4.0,3.0,17.0,36.0,47.2,3.0,27.0,1.0,2.0,1.0,/en/matches/002f0ff0/Leeds-United-Manchester-United-February-20-2022-Premier-League,1.0,0.6666666666666666,0.5
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2022-02-23,Wed,Champions Lg,Round of 16,Away,D 1–1,eng Manchester Utd,es Atlético Madrid,Y,AM,90,0,1,0,0,1.0,0.0,0,0,71.0,2.0,1.0,2.0,0.0,0.0,0.4,4.0,1.0,38.0,56.0,67.9,5.0,38.0,1.0,1.0,0.0,/en/matches/f898d45f/Atletico-Madrid-Manchester-United-February-23-2022-Champions-League,0.5,0.8333333333333334,0.5
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,2022-02-26,Sat,Premier League,Matchweek 27,Home,D 0–0,Manchester Utd,Watford,Y*,"AM,DM",90,0,0,0,0,8.0,2.0,0,0,95.0,1.0,0.0,1.0,1.4,1.4,0.3,6.0,0.0,63.0,82.0,76.8,8.0,54.0,4.0,4.0,2.0,/en/matches/43737c9c/Manchester-United-Watford-February-26-2022-Premier-League,0.5,0.8333333333333334,0.5
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,2022-03-06,Sun,Premier League,Matchweek 28,Away,L 1–4,Manchester Utd,Manchester City,Y,"FW,AM",90,0,0,0,0,1.0,0.0,0,0,37.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,20.0,30.0,66.7,3.0,26.0,1.0,2.0,0.0,/en/matches/2dc5b8b0/Manchester-Derby-Manchester-City-Manchester-United-March-6-2022-Premier-League,0.0,0.6666666666666666,0.5
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,2022-03-15,Tue,Champions Lg,Round of 16,Home,L 0–1,eng Manchester Utd,es Atlético Madrid,Y,AM,66,0,0,0,0,1.0,1.0,0,0,45.0,0.0,0.0,0.0,0.0,0.0,0.3,4.0,0.0,29.0,39.0,74.4,2.0,28.0,1.0,1.0,0.0,/en/matches/bac82b39/Manchester-United-Atletico-Madrid-March-15-2022-Champions-League,0.0,0.3333333333333333,0.5
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,2022-03-24,Thu,WCQ,Semi-finals,Home,W 3–1,pt Portugal,tr Türkiye,Y,CM,79,0,0,0,0,0.0,0.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/9a1557c0/Portugal-Turkiye-March-24-2022-WCQ----UEFA-M,1.0,0.1666666666666666,0.5
45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,2022-03-29,Tue,WCQ,Finals,Home,W 2–0,pt Portugal,mk N. Macedonia,Y,CM,86,2,0,0,0,5.0,3.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/2dee3a00/Portugal-North-Macedonia-March-29-2022-WCQ----UEFA-M,1.0,0.3333333333333333,0.5
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,2022-04-02,Sat,Premier League,Matchweek 31,Home,D 1–1,Manchester Utd,Leicester City,Y,"FW,AM",90,0,0,0,0,4.0,2.0,0,0,76.0,1.0,0.0,0.0,0.2,0.2,0.0,4.0,1.0,52.0,65.0,80.0,13.0,46.0,7.0,3.0,2.0,/en/matches/00863ee3/Manchester-United-Leicester-City-April-2-2022-Premier-League,0.5,0.6666666666666666,0.5
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,2022-04-09,Sat,Premier League,Matchweek 32,Away,L 0–1,Manchester Utd,Everton,Y,AM,90,0,0,0,0,2.0,0.0,0,0,98.0,0.0,0.0,1.0,0.0,0.0,0.1,4.0,0.0,72.0,91.0,79.1,9.0,71.0,3.0,1.0,1.0,/en/matches/f976e20a/Everton-Manchester-United-April-9-2022-Premier-League,0.0,0.8333333333333334,0.5
