,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2020-11-22,Sun,Premier League,Matchweek 9,Home,W 3–0,Liverpool,Leicester City,Y,CB,90,0,0,0,0,0,0,0,0,89.0,0.0,1,2.0,0.0,0.0,0.0,0.0,0.0,80.0,82.0,97.6,6.0,72.0,0.0,0.0,0.0,/en/matches/cc230451/Liverpool-Leicester-City-November-22-2020-Premier-League,1.0,1.0,0.9230769230769232
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2020-11-25,Wed,Champions Lg,Group stage,Home,L 0–2,eng Liverpool,it Atalanta,N,"CM,CB",30,0,0,0,0,0,0,0,0,39.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,37.0,89.2,0.0,30.0,0.0,0.0,0.0,/en/matches/827bc8a4/Liverpool-Atalanta-November-25-2020-Champions-League,0.0,1.0,0.5
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2020-11-28,Sat,Premier League,Matchweek 10,Away,D 1–1,Liverpool,Brighton,Y,CB,90,0,0,0,0,0,0,0,0,66.0,2.0,0,0.0,0.0,0.0,0.1,1.0,0.0,54.0,61.0,88.5,1.0,46.0,0.0,0.0,0.0,/en/matches/31baf354/Brighton-and-Hove-Albion-Liverpool-November-28-2020-Premier-League,0.5,0.6666666666666666,0.4880952380952381
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2020-12-01,Tue,Champions Lg,Group stage,Home,W 1–0,eng Liverpool,nl Ajax,Y,CB,90,0,0,0,0,0,0,0,0,72.0,2.0,2,2.0,0.0,0.0,0.0,3.0,0.0,51.0,57.0,89.5,2.0,44.0,0.0,0.0,0.0,/en/matches/912c702e/Liverpool-Ajax-December-1-2020-Champions-League,1.0,0.5,0.5
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2020-12-06,Sun,Premier League,Matchweek 11,Home,W 4–0,Liverpool,Wolves,Y,CB,90,0,0,0,0,0,0,0,0,86.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,73.0,78.0,93.6,1.0,63.0,0.0,0.0,0.0,/en/matches/25249736/Liverpool-Wolverhampton-Wanderers-December-6-2020-Premier-League,1.0,0.5,0.6428571428571427
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,2020-12-09,Wed,Champions Lg,Group stage,Away,D 1–1,eng Liverpool,dk Midtjylland,Y,CB,45,0,0,0,0,0,0,0,0,56.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,43.0,47.0,91.5,0.0,36.0,0.0,0.0,0.0,/en/matches/a6b14ad5/Midtjylland-Liverpool-December-9-2020-Champions-League,0.5,0.8333333333333334,0.5
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,2020-12-13,Sun,Premier League,Matchweek 12,Away,D 1–1,Liverpool,Fulham,Y,CB,90,0,0,0,0,0,0,0,0,115.0,3.0,1,1.0,0.0,0.0,0.0,0.0,0.0,93.0,102.0,91.2,3.0,63.0,1.0,1.0,1.0,/en/matches/5abb0bd1/Fulham-Liverpool-December-13-2020-Premier-League,0.5,0.8333333333333334,0.3333333333333333
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,2020-12-16,Wed,Premier League,Matchweek 13,Home,W 2–1,Liverpool,Tottenham,Y,CB,90,0,0,0,0,0,0,0,0,103.0,4.0,0,1.0,0.0,0.0,0.0,0.0,0.0,92.0,98.0,93.9,6.0,83.0,2.0,1.0,1.0,/en/matches/966f86fe/Liverpool-Tottenham-Hotspur-December-16-2020-Premier-League,1.0,0.6666666666666666,0.773809523809524
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,2020-12-19,Sat,Premier League,Matchweek 14,Away,W 7–0,Liverpool,Crystal Palace,Y,CB,90,0,0,0,0,0,0,0,0,103.0,4.0,4,0.0,0.0,0.0,0.0,0.0,0.0,86.0,90.0,95.6,3.0,57.0,1.0,0.0,0.0,/en/matches/d05715a8/Crystal-Palace-Liverpool-December-19-2020-Premier-League,1.0,0.6666666666666666,0.5833333333333333
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,2020-12-27,Sun,Premier League,Matchweek 15,Home,D 1–1,Liverpool,West Brom,Y,CB,90,0,0,0,0,1,0,0,0,101.0,0.0,2,0.0,0.0,0.0,0.0,2.0,1.0,81.0,92.0,88.0,9.0,59.0,2.0,0.0,0.0,/en/matches/daa09f69/Liverpool-West-Bromwich-Albion-December-27-2020-Premier-League,0.5,0.8333333333333334,0.1547619047619046
