,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form
15,15,2021-11-04,Thu,Europa Lg,Group stage,Away,D 2–2,eng West Ham,be Genk,N,FW,33,0,0,0,0,0,0,0,0,19.0,0.0,0,0.0,0.0,0.0,0.3,3.0,0.0,12.0,15.0,80.0,4.0,13.0,0.0,2.0,1.0,/en/matches/f5da596e/Genk-West-Ham-United-November-4-2021-Europa-League,0.5,0.8333333333333334
16,16,2021-11-07,Sun,Premier League,Matchweek 11,Home,W 3–2,West Ham,Liverpool,Y,RW,83,0,2,0,0,1,0,0,0,32.0,0.0,0,1.0,0.1,0.1,0.7,4.0,3.0,12.0,20.0,60.0,4.0,17.0,1.0,2.0,1.0,/en/matches/63538dc7/West-Ham-United-Liverpool-November-7-2021-Premier-League,1.0,0.6666666666666666
17,17,2021-11-20,Sat,Premier League,Matchweek 12,Away,L 0–1,West Ham,Wolves,Y,RW,70,0,0,0,0,2,1,0,0,21.0,1.0,2,1.0,0.1,0.1,0.0,1.0,0.0,8.0,12.0,66.7,0.0,12.0,1.0,3.0,1.0,/en/matches/013c4797/Wolverhampton-Wanderers-West-Ham-United-November-20-2021-Premier-League,0.0,0.8333333333333334
18,18,2021-11-25,Thu,Europa Lg,Group stage,Away,W 2–0,eng West Ham,at Rapid Wien,Y,FW,64,0,0,0,0,3,1,0,0,27.0,0.0,0,0.0,1.3,1.3,0.0,3.0,0.0,16.0,21.0,76.2,0.0,19.0,1.0,3.0,3.0,/en/matches/7785059b/Rapid-Wien-West-Ham-United-November-25-2021-Europa-League,1.0,0.5
19,19,2021-11-28,Sun,Premier League,Matchweek 13,Away,L 1–2,West Ham,Manchester City,N,RW,17,0,0,0,0,0,0,0,0,13.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,10.0,70.0,1.0,11.0,2.0,1.0,0.0,/en/matches/c37446de/Manchester-City-West-Ham-United-November-28-2021-Premier-League,0.0,0.6666666666666666
20,20,2021-12-01,Wed,Premier League,Matchweek 14,Home,D 1–1,West Ham,Brighton,Y,RW,90,0,0,0,0,3,1,0,0,40.0,1.0,4,3.0,0.2,0.2,0.0,1.0,0.0,13.0,23.0,56.5,2.0,20.0,2.0,3.0,2.0,/en/matches/2049300f/West-Ham-United-Brighton-and-Hove-Albion-December-1-2021-Premier-League,0.5,0.3333333333333333
21,21,2021-12-04,Sat,Premier League,Matchweek 15,Home,W 3–2,West Ham,Chelsea,Y,"AM,RW",90,1,0,0,0,4,1,0,0,37.0,0.0,0,1.0,0.8,0.8,0.0,2.0,1.0,17.0,26.0,65.4,0.0,25.0,2.0,2.0,1.0,/en/matches/776aa8ab/West-Ham-United-Chelsea-December-4-2021-Premier-League,1.0,0.5
22,22,2021-12-12,Sun,Premier League,Matchweek 16,Away,D 0–0,West Ham,Burnley,Y,RW,90,0,0,0,0,2,1,0,0,55.0,1.0,0,0.0,0.1,0.1,0.2,6.0,0.0,31.0,45.0,68.9,3.0,31.0,3.0,3.0,0.0,/en/matches/6d236ce6/Burnley-West-Ham-United-December-12-2021-Premier-League,0.5,0.5
23,23,2021-12-15,Wed,Premier League,Matchweek 17,Away,L 0–2,West Ham,Arsenal,Y,"RW,FW",90,0,0,0,0,3,1,0,0,22.0,0.0,0,0.0,0.2,0.2,0.0,2.0,0.0,8.0,16.0,50.0,0.0,11.0,1.0,2.0,1.0,/en/matches/3f1ff3a5/Arsenal-West-Ham-United-December-15-2021-Premier-League,0.0,0.6666666666666666
24,24,2021-12-22,Wed,EFL Cup,Quarter-finals,Away,L 1–2,West Ham,Tottenham,Y,FW,90,1,0,0,0,3,2,1,0,,,0,,,,,,,,,,,,,,,/en/matches/6981927c/Tottenham-Hotspur-West-Ham-United-December-22-2021-EFL-Cup,0.0,0.5
