,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
10,2022-08-06,Sat,Matchweek 15,Home,W 4–3,Leeds United,Bournemouth,Y,CB,90,0,0,0,0,2,0,0,0,66,2,1,2,0.1,0.1,0.0,1,0,52,59,88.1,12,50,0,0,0,/en/matches/63975c3e/Leeds-United-Bournemouth-November-5-2022-Premier-League
11,2022-08-06,Sat,Matchweek 16,Away,L 3–4,Leeds United,Tottenham,Y,CB,90,0,0,0,0,0,0,0,0,55,1,3,1,0.0,0.0,0.0,0,0,31,44,70.5,0,28,0,0,0,/en/matches/0030e686/Tottenham-Hotspur-Leeds-United-November-12-2022-Premier-League
12,2022-08-06,Wed,Matchweek 17,Home,L 1–3,Leeds United,Manchester City,Y,CB,90,0,0,0,0,0,0,0,0,38,1,1,0,0.0,0.0,0.0,1,0,18,29,62.1,0,11,0,0,0,/en/matches/a85ef749/Leeds-United-Manchester-City-December-28-2022-Premier-League
13,2022-08-06,Sat,Matchweek 18,Away,D 0–0,Leeds United,Newcastle Utd,Y,CB,90,0,0,0,0,0,0,0,0,37,3,1,0,0.0,0.0,0.0,0,0,19,27,70.4,1,15,0,0,0,/en/matches/0facecde/Newcastle-United-Leeds-United-December-31-2022-Premier-League
14,2022-08-06,Wed,Matchweek 19,Home,D 2–2,Leeds United,West Ham,Y,CB,90,0,0,0,0,1,0,0,0,64,1,2,1,0.1,0.1,0.0,1,0,43,51,84.3,4,26,0,0,0,/en/matches/068406dc/Leeds-United-West-Ham-United-January-4-2023-Premier-League
15,2022-08-06,Fri,Matchweek 20,Away,L 1–2,Leeds United,Aston Villa,Y,CB,87,0,0,0,0,0,0,1,0,47,3,4,1,0.0,0.0,0.1,1,0,26,38,68.4,1,23,0,0,0,/en/matches/ea58bf24/Aston-Villa-Leeds-United-January-13-2023-Premier-League
16,2022-08-06,Sun,Matchweek 21,Home,D 0–0,Leeds United,Brentford,Y,CB,90,0,0,0,0,0,0,1,0,54,3,1,2,0.0,0.0,0.0,0,0,28,42,66.7,3,11,1,0,0,/en/matches/f0e7d8a8/Leeds-United-Brentford-January-22-2023-Premier-League
17,2022-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2022-08-06,Wed,Matchweek 8,Away,D 2–2,Leeds United,Manchester Utd,Y,CB,90,0,0,0,0,0,0,0,0,35,0,2,2,0.0,0.0,0.0,0,0,16,23,69.6,2,12,0,0,0,/en/matches/80532a54/Manchester-United-Leeds-United-February-8-2023-Premier-League
19,2022-08-06,Sun,Matchweek 23,Home,L 0–2,Leeds United,Manchester Utd,Y,CB,90,0,0,0,0,1,0,0,0,37,1,1,0,0.2,0.2,0.0,0,0,20,28,71.4,2,16,1,0,0,/en/matches/3386146f/Leeds-United-Manchester-United-February-12-2023-Premier-League
20,2022-08-06,Sat,Matchweek 24,Away,L 0–1,Leeds United,Everton,Y,CB,90,0,0,0,0,0,0,0,0,58,3,3,2,0.0,0.0,0.0,0,0,34,43,79.1,1,27,0,0,0,/en/matches/d5f67d2e/Everton-Leeds-United-February-18-2023-Premier-League
