,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
20,20,20,20,20,20,2022-04-17,Sun,Premier League,Matchweek 33,Away,D 1–1,Burnley,West Ham,N,RB,30,0,0,0,0,0.0,0.0,0,0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,19.0,89.5,2.0,11.0,1.0,1.0,1.0,/en/matches/f3a245c8/West-Ham-United-Burnley-April-17-2022-Premier-League,0.5,0.6666666666666666,0.5
21,21,21,21,21,21,2022-04-21,Thu,Premier League,Matchweek 30,Home,W 2–0,Burnley,Southampton,Y,RB,90,1,0,0,0,1.0,1.0,0,0,64.0,0.0,0.0,5.0,0.0,0.0,0.3,3.0,0.0,38.0,51.0,74.5,4.0,24.0,3.0,0.0,0.0,/en/matches/73ef622b/Burnley-Southampton-April-21-2022-Premier-League,1.0,0.5,0.5
22,22,22,22,22,22,2022-04-24,Sun,Premier League,Matchweek 34,Home,W 1–0,Burnley,Wolves,Y,RB,90,0,0,0,0,0.0,0.0,0,0,60.0,2.0,4.0,0.0,0.0,0.0,0.2,3.0,0.0,35.0,47.0,74.5,3.0,31.0,1.0,2.0,1.0,/en/matches/99d0fee1/Burnley-Wolverhampton-Wanderers-April-24-2022-Premier-League,1.0,0.8333333333333334,0.5
23,23,23,23,23,23,2022-04-30,Sat,Premier League,Matchweek 35,Away,W 2–1,Burnley,Watford,Y,RB,90,0,0,0,0,0.0,0.0,0,0,73.0,2.0,0.0,1.0,0.0,0.0,0.1,3.0,0.0,49.0,65.0,75.4,4.0,35.0,1.0,0.0,0.0,/en/matches/81ac72d8/Watford-Burnley-April-30-2022-Premier-League,1.0,0.8333333333333334,0.5
24,24,24,24,24,24,2022-05-07,Sat,Premier League,Matchweek 36,Home,L 1–3,Burnley,Aston Villa,Y,RB,90,0,0,0,0,1.0,1.0,0,0,75.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,57.0,69.0,82.6,8.0,48.0,4.0,0.0,0.0,/en/matches/c1dc9202/Burnley-Aston-Villa-May-7-2022-Premier-League,0.0,1.0,0.5
25,25,25,25,25,25,2022-05-15,Sun,Premier League,Matchweek 37,Away,L 0–1,Burnley,Tottenham,Y,RB,90,0,0,0,0,0.0,0.0,1,0,53.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,35.0,47.0,74.5,3.0,33.0,1.0,1.0,0.0,/en/matches/1d0f7282/Tottenham-Hotspur-Burnley-May-15-2022-Premier-League,0.0,0.6666666666666666,0.5
26,26,26,26,26,26,2022-05-19,Thu,Premier League,Matchweek 18,Away,D 1–1,Burnley,Aston Villa,Y,"RB,RM",90,0,0,0,0,1.0,1.0,0,0,41.0,2.0,0.0,0.0,0.2,0.2,0.4,2.0,0.0,21.0,33.0,63.6,0.0,18.0,0.0,0.0,0.0,/en/matches/bc4f902e/Aston-Villa-Burnley-May-19-2022-Premier-League,0.5,0.3333333333333333,0.5
27,27,27,27,27,27,2022-05-22,Sun,Premier League,Matchweek 38,Home,L 1–2,Burnley,Newcastle Utd,Y,RM,45,0,0,0,0,0.0,0.0,0,0,19.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,16.0,43.8,2.0,5.0,0.0,0.0,0.0,/en/matches/ad4ac82b/Burnley-Newcastle-United-May-22-2022-Premier-League,0.0,0.1666666666666666,0.5
28,28,28,28,28,28,2022-06-05,Sun,WCQ,Finals,Home,W 1–0,wls Wales,ua Ukraine,Y,RB,90,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/bf22f694/Wales-Ukraine-June-5-2022-WCQ----UEFA-M,1.0,0.1666666666666666,0.5
29,29,29,29,29,29,2022-06-08,Wed,UEFA Nations League,League A,Home,L 1–2,wls Wales,nl Netherlands,Y,RB,90,0,1,0,0,1.0,0.0,0,0,,,4.0,,,,,,,,,,,,,,,/en/matches/280538f0/Wales-Netherlands-June-8-2022-UEFA-Nations-League,0.0,0.5,0.5
30,30,30,30,30,30,2022-06-11,Sat,UEFA Nations League,League A,Home,D 1–1,wls Wales,be Belgium,Y,RB,60,0,0,0,0,2.0,0.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/510eb1dc/Wales-Belgium-June-11-2022-UEFA-Nations-League,0.5,0.3333333333333333,0.5
31,31,31,31,31,31,2022-06-14,Tue,UEFA Nations League,League A,Away,L 2–3,wls Wales,nl Netherlands,N,,45,0,0,0,0,0.0,0.0,1,0,,,1.0,,,,,,,,,,,,,,,/en/matches/6e6d4c86/Netherlands-Wales-June-14-2022-UEFA-Nations-League,0.0,0.5,0.5
