,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Match Report
10,2020-09-12,Wed,Matchweek 13,Home,D 0–0,Fulham,Brighton,Y,WB,61,2,1,2,0,0,2,5,40.0,3,0,0,0,2,4,1,0,/en/matches/eb73d532/Fulham-Brighton-and-Hove-Albion-December-16-2020-Premier-League
11,2020-09-12,Sat,Matchweek 14,Away,D 1–1,Fulham,Newcastle Utd,Y,"WB,RW",90,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,/en/matches/3ae84056/Newcastle-United-Fulham-December-19-2020-Premier-League
12,2020-09-12,Sat,Matchweek 15,Home,D 0–0,Fulham,Southampton,Y,WB,82,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,/en/matches/cf86c208/Fulham-Southampton-December-26-2020-Premier-League
13,2020-09-12,Wed,Matchweek 16,Away,D 1–1,Fulham,Tottenham,Y,CM,90,1,1,0,0,1,0,0,,0,0,0,0,0,1,2,0,/en/matches/fcad17a1/Tottenham-Hotspur-Fulham-January-13-2021-Premier-League
14,2020-09-12,Sat,Matchweek 19,Home,L 0–1,Fulham,Chelsea,Y,"RM,RB",82,2,0,2,0,0,2,2,100.0,0,1,1,0,1,3,3,0,/en/matches/714c642d/Fulham-Chelsea-January-16-2021-Premier-League
15,2020-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2020-09-12,Wed,Matchweek 20,Away,D 0–0,Fulham,Brighton,Y,"LM,RM",90,1,1,0,1,0,1,2,50.0,1,2,1,1,5,6,2,0,/en/matches/ea5464bd/Brighton-and-Hove-Albion-Fulham-January-27-2021-Premier-League
17,2020-09-12,Sat,Matchweek 21,Away,D 2–2,Fulham,West Brom,Y,RM,71,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0,/en/matches/d1517c30/West-Bromwich-Albion-Fulham-January-30-2021-Premier-League
18,2020-09-12,Wed,Matchweek 22,Home,L 0–2,Fulham,Leicester City,N,RM,20,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,/en/matches/bd0673ed/Fulham-Leicester-City-February-3-2021-Premier-League
19,2020-09-12,Sat,Matchweek 23,Home,D 0–0,Fulham,West Ham,Y,"RW,CM",82,1,1,1,0,0,1,1,100.0,0,1,1,0,1,2,2,0,/en/matches/d18e21ab/Fulham-West-Ham-United-February-6-2021-Premier-League
20,2020-09-12,Sun,Matchweek 24,Away,W 2–0,Fulham,Everton,Y,FW,90,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0,/en/matches/46f84386/Everton-Fulham-February-14-2021-Premier-League
21,2020-09-12,Wed,Matchweek 17,Away,D 1–1,Fulham,Burnley,Y,"FW,RM",66,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,3,0,/en/matches/6285d050/Burnley-Fulham-February-17-2021-Premier-League
22,2020-09-12,Sat,Matchweek 25,Home,W 1–0,Fulham,Sheffield Utd,N,FW,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,/en/matches/b1892d66/Fulham-Sheffield-United-February-20-2021-Premier-League
23,2020-09-12,Sun,Matchweek 26,Away,D 0–0,Fulham,Crystal Palace,Y,RW,65,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,3,0,/en/matches/2d530fe3/Crystal-Palace-Fulham-February-28-2021-Premier-League
24,2020-09-12,Thu,Matchweek 33,Home,L 0–1,Fulham,Tottenham,N,"On matchday squad, but did not play",/en/matches/44b3d20c/Fulham-Tottenham-Hotspur-March-4-2021-Premier-League,,,,,,,,,,,,,,,,,
25,2020-09-12,Sun,Matchweek 27,Away,W 1–0,Fulham,Liverpool,Y,"RM,CM",90,0,0,0,0,0,0,0,,0,2,0,2,1,1,3,0,/en/matches/5826a836/Liverpool-Fulham-March-7-2021-Premier-League
26,2020-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2020-09-12,Sun,Matchweek 30,Away,L 1–3,Fulham,Aston Villa,Y,RW,90,2,1,0,1,1,2,2,100.0,0,1,0,1,1,3,1,0,/en/matches/a2d96ab5/Aston-Villa-Fulham-April-4-2021-Premier-League
28,2020-09-12,Fri,Matchweek 31,Home,L 0–1,Fulham,Wolves,Y,"AM,RM",90,1,1,1,0,0,1,4,25.0,3,1,0,1,0,1,0,0,/en/matches/be1ee647/Fulham-Wolverhampton-Wanderers-April-9-2021-Premier-League
29,2020-09-12,Sun,Matchweek 32,Away,D 1–1,Fulham,Arsenal,Y,RM,90,3,1,2,1,0,1,2,50.0,1,0,0,0,0,3,3,0,/en/matches/a19ff865/Arsenal-Fulham-April-18-2021-Premier-League
30,2020-09-12,Sat,Matchweek 34,Away,L 0–2,Fulham,Chelsea,Y,AM,90,0,0,0,0,0,0,1,0.0,1,1,1,0,1,1,0,0,/en/matches/44d49bd5/Chelsea-Fulham-May-1-2021-Premier-League
31,2020-09-12,Mon,Matchweek 35,Home,L 0–2,Fulham,Burnley,Y,AM,65,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,/en/matches/430d879c/Fulham-Burnley-May-10-2021-Premier-League
32,2020-09-12,Sat,Matchweek 36,Away,L 1–3,Fulham,Southampton,Y,"WB,LM,CM",90,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,/en/matches/34739ed7/Southampton-Fulham-May-15-2021-Premier-League
33,2020-09-12,Tue,Matchweek 37,Away,D 1–1,Fulham,Manchester Utd,Y,"AM,WB",90,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,0,0,/en/matches/d8018048/Manchester-United-Fulham-May-18-2021-Premier-League
34,2020-09-12,Sun,Matchweek 38,Home,L 0–2,Fulham,Newcastle Utd,Y,WB,90,2,1,1,0,1,0,0,,0,0,0,0,0,2,0,0,/en/matches/f966eee0/Fulham-Newcastle-United-May-23-2021-Premier-League
