,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Succ,Match Report,TotDist,PrgDist,xA,KP,1/3,PPA,CrsPA,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Off,PassLive,PassDead,TO,Fld,Def,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl%,Lost,Pass,Tkl+Int,Clr,Err,Def Pen,Att Pen,Succ%,Tkld,Tkld%,CPA,Mis,Dis,Rec,PrgR,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%
51,2022-10-21,Fri,Serie A,Matchweek 11,Home,W 4–0,Juventus,Empoli,Y,CM,64,1,0,0,0,2,2,0,0,29,0,1,0,0.3,0.3,0.2,3,0,18,22,81.8,2,8,1,0,https://fbref.com/en/matches/6f946be3/Juventus-Empoli-October-21-2022-Serie-A,245,72,0.3,2,0,1,1,22,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,6,,0,,1,1,1,22,7,0,2,0,0,0,5,2,50.0
52,2022-10-25,Tue,Champions Lg,Group stage,Away,L 3–4,it Juventus,pt Benfica,Y,"CM,WB",90,1,0,0,0,2,1,0,0,47,0,2,3,0.4,0.4,0.0,1,0,30,37,81.1,4,24,3,1,https://fbref.com/en/matches/13a5d7c1/Benfica-Juventus-October-25-2022-Champions-League,459,81,0.0,0,2,0,0,34,3,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,3,2,1,0,2,3,50.0,1,50.0,1,1,1,28,7,0,0,0,0,0,3,1,33.3
53,2022-10-29,Sat,Serie A,Matchweek 12,Away,W 1–0,Juventus,Lecce,Y,CM,45,0,0,0,0,0,0,0,0,32,2,0,0,0.0,0.0,0.0,1,0,23,26,88.5,4,13,0,0,https://fbref.com/en/matches/52ff141b/Lecce-Juventus-October-29-2022-Serie-A,358,70,0.0,0,5,0,0,25,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,,0,0,2,2,0,0,1,,0,,0,1,0,20,0,0,2,0,0,0,2,0,0.0
54,2022-11-21,Mon,World Cup,Group stage,Neutral,D 1–1,us United States,wls Wales,Y,RM,65,0,0,0,0,0,0,1,0,42,0,0,2,0.0,0.0,0.0,0,0,26,36,72.2,1,16,2,0,https://fbref.com/en/matches/9de4c4cc/United-States-Wales-November-21-2022-FIFA-World-Cup,451,90,0.0,0,4,0,0,33,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,2,0,1,0,,0,,0,0,0,29,6,0,4,0,0,0,6,1,100.0
55,2022-11-25,Fri,World Cup,Group stage,Neutral,D 0–0,us United States,eng England,Y,RM,76,0,0,0,0,2,0,0,0,44,2,0,2,0.3,0.3,0.0,4,0,30,35,85.7,4,22,3,1,https://fbref.com/en/matches/cde0c30b/England-United-States-November-25-2022-FIFA-World-Cup,469,207,0.1,1,2,2,1,30,5,1,0,0,1,4,0,0,0,0,0,4,0,0,0,0,1,1,0,1,100.0,0,2,2,1,0,3,4,100.0,0,0.0,1,1,1,28,3,0,1,0,0,0,4,0,0.0
56,2022-11-29,Tue,World Cup,Group stage,Neutral,W 1–0,us United States,ir IR Iran,Y,"LM,CM",64,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,2,1,29,38,76.3,9,28,3,0,https://fbref.com/en/matches/dcd3b239/IR-Iran-United-States-November-29-2022-FIFA-World-Cup,562,240,0.1,1,6,3,0,37,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,1,0,0.0,1,100.0,0,1,0,36,3,0,1,0,0,0,1,0,0.0
57,2022-12-03,Sat,World Cup,Round of 16,Neutral,L 1–3,us United States,nl Netherlands,Y,LM,66,0,0,0,0,3,1,0,0,52,0,0,0,0.1,0.1,0.3,6,0,32,44,72.7,5,31,2,0,https://fbref.com/en/matches/249ccad4/Netherlands-United-States-December-3-2022-FIFA-World-Cup,684,233,0.0,2,4,0,0,41,3,1,0,1,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,1,0,0,2,0,2,4,,0,,1,0,2,40,6,0,0,0,0,0,3,2,100.0
58,2023-01-04,Wed,Serie A,Matchweek 16,Away,W 1–0,Juventus,Cremonese,Y,"DM,CM",66,0,0,0,0,0,0,0,0,38,1,0,1,0.0,0.0,0.0,2,0,25,33,75.8,4,25,3,0,https://fbref.com/en/matches/fc78363f/Cremonese-Juventus-January-4-2023-Serie-A,478,99,0.0,0,3,0,0,29,3,0,0,2,1,3,0,0,0,0,1,2,0,0,0,0,0,1,0,0,,0,1,1,2,0,2,0,,0,,0,0,1,29,3,0,1,0,0,0,1,1,100.0
59,2023-01-07,Sat,Serie A,Matchweek 17,Home,W 1–0,Juventus,Udinese,Y,"WB,DM",90,0,0,0,0,0,0,0,0,53,2,1,2,0.0,0.0,0.0,0,0,40,45,88.9,5,20,1,1,https://fbref.com/en/matches/83f4ac3e/Juventus-Udinese-January-7-2023-Serie-A,669,162,0.0,0,1,2,0,39,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,2,0,100.0,0,1,3,0,0,1,2,50.0,1,50.0,0,1,0,33,4,0,0,0,0,0,4,1,50.0
60,,Performance,Expected,SCA,Passes,Carries,Take-Ons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
