,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Succ,Match Report,TotDist,PrgDist,xA,KP,1/3,PPA,CrsPA,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Off,PassLive,PassDead,TO,Fld,Def,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl%,Lost,Pass,Tkl+Int,Clr,Err,Def Pen,Att Pen,Succ%,Tkld,Tkld%,CPA,Mis,Dis,Rec,PrgR,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%
71,2023-03-06,Mon,Premier League,Matchweek 26,Away,L 2–3,Fulham,Brentford,Y,DM,74,0,0,0,0,1,0,1,0,47,0,0,0,0.0,0.0,0.0,0,0,41,44,93.2,2,32,0,0,https://fbref.com/en/matches/3dce3a24/Brentford-Fulham-March-6-2023-Premier-League,685,108,0.0,0,7,0,0,41,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,,0,,0,1,0,34,0,0,3,0,0,0,5,0,0.0
72,2023-03-12,Sun,Premier League,Matchweek 27,Home,L 0–3,Fulham,Arsenal,Y,DM,90,0,0,0,0,0,0,0,0,59,1,0,3,0.0,0.0,0.0,2,0,48,54,88.9,4,36,1,0,https://fbref.com/en/matches/d238973c/Fulham-Arsenal-March-12-2023-Premier-League,862,232,0.0,0,3,0,0,52,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,,0,2,1,0,0,2,0,,0,,0,1,0,42,0,0,1,0,0,0,6,1,100.0
73,2023-03-24,Fri,Euro Qualifying,Group stage,Home,W 2–0,rs Serbia,lt Lithuania,Y,DM,71,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,https://fbref.com/en/matches/9a3a9ee9/Serbia-Lithuania-March-24-2023-Euro-Qualifying,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,5,,,0,,,
74,2023-03-27,Mon,Euro Qualifying,Group stage,Away,W 2–0,rs Serbia,me Montenegro,N,,10,0,1,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,https://fbref.com/en/matches/9b1f6871/Montenegro-Serbia-March-27-2023-Euro-Qualifying,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,
75,2023-04-01,Sat,Premier League,Matchweek 29,Away,L 1–2,Fulham,Bournemouth,N,AM,9,0,0,0,0,0,0,0,0,9,1,0,0,0.0,0.0,0.0,0,0,8,8,100.0,1,7,1,0,https://fbref.com/en/matches/f64320c3/Bournemouth-Fulham-April-1-2023-Premier-League,113,38,0.0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,0,0,1,0,0,0,0,,0,,0,0,0,8,1,0,1,0,0,0,1,0,
76,2023-04-15,Sat,Premier League,Matchweek 31,Away,W 3–1,Fulham,Everton,N,DM,6,0,0,0,0,1,1,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,2,0,0,https://fbref.com/en/matches/ecae749b/Everton-Fulham-April-15-2023-Premier-League,42,7,0.0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,0,0,2,0,0,1,0,0,0,0,1,100.0
77,2023-04-22,Sat,Premier League,Matchweek 32,Home,W 2–1,Fulham,Leeds United,N,DM,9,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,4,1,0,https://fbref.com/en/matches/f2d8700d/Fulham-Leeds-United-April-22-2023-Premier-League,36,5,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,0,0,3,0,0,0,0,0,0,1,0,
78,2023-04-30,Sun,Premier League,Matchweek 34,Home,L 1–2,Fulham,Manchester City,N,DM,15,0,0,0,0,0,0,0,0,13,1,0,0,0.0,0.0,0.0,0,0,10,11,90.9,0,6,0,0,https://fbref.com/en/matches/d4d0cb2a/Fulham-Manchester-City-April-30-2023-Premier-League,200,3,0.0,0,0,0,0,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50.0,1,0,1,1,0,1,0,,0,,0,0,0,10,0,0,2,0,0,0,0,1,100.0
79,2023-05-03,Wed,Premier League,Matchweek 28,Away,L 0–1,Fulham,Liverpool,Y,DM,70,0,0,0,0,0,0,0,0,29,2,3,0,0.0,0.0,0.0,1,0,15,21,71.4,1,14,0,0,https://fbref.com/en/matches/24fb8eca/Liverpool-Fulham-May-3-2023-Premier-League,214,59,0.0,0,2,0,0,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,50.0,1,0,5,1,0,3,0,0.0,1,100.0,0,0,1,16,0,0,1,0,0,0,2,0,0.0
80,2023-05-08,Mon,Premier League,Matchweek 35,Home,W 5–3,Fulham,Leicester City,N,DM,14,0,0,0,0,1,0,0,0,9,0,0,1,0.0,0.0,0.0,0,0,6,7,85.7,1,2,1,0,https://fbref.com/en/matches/9a5efecc/Fulham-Leicester-City-May-8-2023-Premier-League,100,16,0.0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,0,,0,,0,0,0,5,0,0,0,0,0,0,3,0,
81,2023-05-13,Sat,Premier League,Matchweek 36,Away,W 2–0,Fulham,Southampton,N,DM,14,0,0,0,0,0,0,0,0,13,1,0,0,0.0,0.0,0.0,0,0,10,12,83.3,0,7,0,1,https://fbref.com/en/matches/e05f67be/Southampton-Fulham-May-13-2023-Premier-League,178,45,0.0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.0,0,0,1,0,0,1,0,100.0,0,0.0,0,0,0,9,0,0,1,0,0,0,3,0,
82,2023-05-28,Sun,Premier League,Matchweek 38,Away,L 1–2,Fulham,Manchester Utd,Y,DM,65,0,0,0,0,1,0,0,0,24,0,1,1,0.0,0.0,0.0,0,0,18,19,94.7,2,14,2,1,https://fbref.com/en/matches/64823dc9/Manchester-United-Fulham-May-28-2023-Premier-League,255,107,0.0,0,2,1,1,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,0,100.0,0,0.0,0,1,0,14,0,0,1,0,0,0,6,1,25.0
83,2023-06-20,Tue,Euro Qualifying,Group stage,Away,D 1–1,rs Serbia,bg Bulgaria,Y,DM,57,0,0,0,0,1,1,0,0,,,0,,,,,,,,,,,,,,https://fbref.com/en/matches/45ad393f/Bulgaria-Serbia-June-20-2023-Euro-Qualifying,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,1,,,0,,,
