,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
14,14,14,14,14,14,14,14,14,2021-02-06,Sat,Championship,Matchweek 28,Home,L 1–4,Middlesbrough,Brentford,Y,RW,68,0,0,0,0,0.0,0.0,0,0,24.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,11.0,20.0,55.0,2.0,9.0,2.0,1.0,1.0,/en/matches/587d2d4d/Middlesbrough-Brentford-February-6-2021-Championship,0.0,0.5,0.5
15,15,15,15,15,15,15,15,15,2021-02-13,Sat,Championship,Matchweek 29,Away,L 1–2,Middlesbrough,Derby County,Y,"RW,LW",81,1,0,0,0,1.0,1.0,0,0,35.0,1.0,1.0,1.0,0.1,0.1,0.1,1.0,0.0,17.0,24.0,70.8,0.0,23.0,4.0,3.0,1.0,/en/matches/4b56b44e/Derby-County-Middlesbrough-February-13-2021-Championship,0.0,0.3333333333333333,0.5
16,16,16,16,16,16,16,16,16,2021-02-16,Tue,Championship,Matchweek 30,Home,W 2–1,Middlesbrough,Huddersfield,Y,CM,78,0,0,0,0,1.0,1.0,0,0,43.0,0.0,1.0,2.0,0.0,0.0,0.1,4.0,1.0,20.0,26.0,76.9,1.0,23.0,3.0,5.0,2.0,/en/matches/39fced9d/Middlesbrough-Huddersfield-Town-February-16-2021-Championship,1.0,0.0,0.5
17,17,17,17,17,17,17,17,17,2021-02-20,Sat,Championship,Matchweek 31,Away,W 2–0,Middlesbrough,Reading,Y,CM,77,0,0,0,0,1.0,0.0,0,0,24.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,14.0,17.0,82.4,1.0,12.0,1.0,2.0,2.0,/en/matches/a3e7b2ab/Reading-Middlesbrough-February-20-2021-Championship,1.0,0.3333333333333333,0.5
18,18,18,18,18,18,18,18,18,2021-02-23,Tue,Championship,Matchweek 32,Home,L 1–3,Middlesbrough,Bristol City,Y,AM,66,0,0,0,0,2.0,0.0,0,0,44.0,0.0,1.0,0.0,0.1,0.1,0.0,2.0,0.0,25.0,33.0,75.8,7.0,27.0,1.0,1.0,0.0,/en/matches/5566931a/Middlesbrough-Bristol-City-February-23-2021-Championship,0.0,0.6666666666666666,0.5
19,19,19,19,19,19,19,19,19,2021-02-27,Sat,Championship,Matchweek 33,Home,D 1–1,Middlesbrough,Cardiff City,N,"LW,RW",20,0,0,0,0,0.0,0.0,0,0,18.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,11.0,17.0,64.7,0.0,13.0,0.0,0.0,0.0,/en/matches/f3865eb7/Middlesbrough-Cardiff-City-February-27-2021-Championship,0.5,0.6666666666666666,0.5
20,20,20,20,20,20,20,20,20,2021-03-02,Tue,Championship,Matchweek 34,Away,W 2–1,Middlesbrough,Coventry City,Y,FW,72,0,0,0,0,1.0,0.0,0,0,31.0,2.0,0.0,1.0,0.1,0.1,0.0,2.0,0.0,18.0,23.0,78.3,1.0,17.0,0.0,2.0,2.0,/en/matches/5a73878a/Coventry-City-Middlesbrough-March-2-2021-Championship,1.0,0.5,0.5
21,21,21,21,21,21,21,21,21,2021-03-06,Sat,Championship,Matchweek 35,Away,L 1–2,Middlesbrough,Swansea City,N,FW,25,0,0,0,0,0.0,0.0,0,0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,9.0,88.9,0.0,7.0,3.0,0.0,0.0,/en/matches/86beeedd/Swansea-City-Middlesbrough-March-6-2021-Championship,0.0,0.5,0.5
22,22,22,22,22,22,22,22,22,2021-03-13,Sat,Championship,Matchweek 36,Home,W 3–0,Middlesbrough,Stoke City,Y,"LW,AM",64,0,0,0,0,3.0,0.0,0,0,21.0,4.0,1.0,0.0,0.2,0.2,0.0,1.0,0.0,7.0,11.0,63.6,0.0,13.0,1.0,1.0,1.0,/en/matches/41093048/Middlesbrough-Stoke-City-March-13-2021-Championship,1.0,0.5,0.5
23,23,23,23,23,23,23,23,23,2021-03-16,Tue,Championship,Matchweek 37,Home,W 2–0,Middlesbrough,Preston,Y,LW,82,0,0,0,0,2.0,1.0,0,0,44.0,3.0,1.0,1.0,0.1,0.1,0.1,8.0,0.0,27.0,33.0,81.8,1.0,22.0,1.0,4.0,3.0,/en/matches/013723b4/Middlesbrough-Preston-North-End-March-16-2021-Championship,1.0,0.6666666666666666,0.5
24,24,24,24,24,24,24,24,24,2021-03-20,Sat,Championship,Matchweek 38,Away,L 0–1,Middlesbrough,Millwall,N,RW,10,0,0,0,0,0.0,0.0,0,0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,75.0,0.0,9.0,0.0,0.0,0.0,/en/matches/277b32d9/Millwall-Middlesbrough-March-20-2021-Championship,0.0,0.6666666666666666,0.5
25,25,25,25,25,25,25,25,25,2021-04-02,Fri,Championship,Matchweek 39,Away,L 1–3,Middlesbrough,Bournemouth,Y,"FW,LM",85,0,0,0,0,1.0,0.0,0,0,34.0,0.0,0.0,1.0,0.0,0.0,0.1,3.0,0.0,18.0,24.0,75.0,2.0,21.0,4.0,2.0,1.0,/en/matches/a2c158da/Bournemouth-Middlesbrough-April-2-2021-Championship,0.0,0.6666666666666666,0.5
26,26,26,26,26,26,26,26,26,2021-04-05,Mon,Championship,Matchweek 40,Home,D 1–1,Middlesbrough,Watford,Y,LW,72,0,0,0,0,0.0,0.0,0,0,29.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,22.0,59.1,1.0,14.0,1.0,1.0,1.0,/en/matches/f9271bbd/Middlesbrough-Watford-April-5-2021-Championship,0.5,0.3333333333333333,0.5
27,27,27,27,27,27,27,27,27,2021-04-10,Sat,Championship,Matchweek 41,Away,L 0–2,Middlesbrough,Barnsley,Y,LW,69,0,0,0,0,0.0,0.0,0,0,21.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,12.0,58.3,0.0,7.0,1.0,1.0,1.0,/en/matches/69dab439/Barnsley-Middlesbrough-April-10-2021-Championship,0.0,0.1666666666666666,0.5
28,28,28,28,28,28,28,28,28,2021-04-17,Sat,Championship,Matchweek 42,Home,L 1–2,Middlesbrough,QPR,Y,AM,90,0,1,0,0,2.0,0.0,0,0,35.0,0.0,0.0,1.0,0.1,0.1,0.4,4.0,2.0,25.0,28.0,89.3,4.0,23.0,4.0,2.0,1.0,/en/matches/e1ac5b54/Middlesbrough-Queens-Park-Rangers-April-17-2021-Championship,0.0,0.1666666666666666,0.5
29,29,29,29,29,29,29,29,29,2021-04-21,Wed,Championship,Matchweek 43,Away,W 2–1,Middlesbrough,Rotherham Utd,Y,RM,90,0,1,0,0,3.0,1.0,1,0,41.0,2.0,0.0,0.0,0.2,0.2,0.2,7.0,2.0,23.0,33.0,69.7,3.0,25.0,4.0,2.0,2.0,/en/matches/15a19e87/Rotherham-United-Middlesbrough-April-21-2021-Championship,1.0,0.1666666666666666,0.5
30,30,30,30,30,30,30,30,30,2021-04-24,Sat,Championship,Matchweek 44,Home,W 3–1,Middlesbrough,Sheffield Weds,Y,RW,78,0,1,0,0,0.0,0.0,0,0,38.0,1.0,3.0,2.0,0.0,0.0,0.1,4.0,1.0,22.0,26.0,84.6,1.0,22.0,4.0,1.0,1.0,/en/matches/349e883e/Middlesbrough-Sheffield-Wednesday-April-24-2021-Championship,1.0,0.3333333333333333,0.5
31,31,31,31,31,31,31,31,31,2021-05-01,Sat,Championship,Matchweek 45,Away,D 1–1,Middlesbrough,Luton Town,Y,RW,90,0,0,0,0,0.0,0.0,0,0,27.0,2.0,1.0,1.0,0.0,0.0,0.5,2.0,0.0,8.0,17.0,47.1,0.0,21.0,4.0,4.0,2.0,/en/matches/9816ca19/Luton-Town-Middlesbrough-May-1-2021-Championship,0.5,0.6666666666666666,0.5
