,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
10,2020-09-27,Wed,Matchweek 16,Home,D 0–0,Newcastle Utd,Liverpool,Y,RM,66,0,0,0,0,1,1,0,0,14,0,1,0,0.0,0.0,0.1,1,0,5,9,55.6,1,9,0,0,0,/en/matches/385cda3f/Newcastle-United-Liverpool-December-30-2020-Premier-League
11,2020-09-27,Sun,Matchweek 17,Home,L 1–2,Newcastle Utd,Leicester City,N,"WB,RM",27,0,0,0,0,0,0,0,0,19,1,0,0,0.0,0.0,0.0,0,0,6,13,46.2,1,12,1,4,3,/en/matches/4c205b24/Newcastle-United-Leicester-City-January-3-2021-Premier-League
12,2020-09-27,Tue,Matchweek 18,Away,L 0–1,Newcastle Utd,Sheffield Utd,N,RB,7,0,0,0,0,2,1,0,0,9,1,0,0,0.1,0.1,0.0,0,0,4,6,66.7,0,1,1,0,0,/en/matches/18ccfdb9/Sheffield-United-Newcastle-United-January-12-2021-Premier-League
13,2020-09-27,Mon,Matchweek 19,Away,L 0–3,Newcastle Utd,Arsenal,N,RM,22,0,0,0,0,0,0,0,0,7,0,0,2,0.0,0.0,0.0,0,0,2,5,40.0,1,3,2,1,1,/en/matches/620df215/Arsenal-Newcastle-United-January-18-2021-Premier-League
14,2020-09-27,Sat,Matchweek 11,Away,L 0–2,Newcastle Utd,Aston Villa,N,"On matchday squad, but did not play",/en/matches/b2143993/Aston-Villa-Newcastle-United-January-23-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2020-09-27,Tue,Matchweek 20,Home,L 1–2,Newcastle Utd,Leeds United,Y,RM,63,0,0,0,0,3,0,0,0,26,1,0,2,0.1,0.1,0.1,1,0,7,15,46.7,1,12,1,1,1,/en/matches/831d8a36/Newcastle-United-Leeds-United-January-26-2021-Premier-League
16,2020-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2020-09-27,Mon,Matchweek 24,Away,L 0–2,Newcastle Utd,Chelsea,N,"On matchday squad, but did not play",/en/matches/dd033287/Chelsea-Newcastle-United-February-15-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2020-09-27,Sun,Matchweek 25,Away,L 1–3,Newcastle Utd,Manchester Utd,N,FW,14,0,0,0,0,1,0,0,0,10,0,0,1,0.0,0.0,0.0,0,0,5,6,83.3,0,4,1,0,0,/en/matches/401e0d48/Manchester-United-Newcastle-United-February-21-2021-Premier-League
19,2020-09-27,Sat,Matchweek 26,Home,D 1–1,Newcastle Utd,Wolves,N,"RB,LW",28,0,0,0,0,1,0,0,0,9,2,0,0,0.1,0.1,0.3,4,0,5,6,83.3,1,7,1,3,3,/en/matches/99e5e3dc/Newcastle-United-Wolverhampton-Wanderers-February-27-2021-Premier-League
