,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
17,2020-11-06,Sun,Matchweek 26,Away,L 0–4,Burnley,Tottenham,Y*,CB,90,0,0,0,0,0,0,0,0,57,1,2,0,0.0,0.0,0.0,0,0,39,47,83.0,2,31,0,0,0,/en/matches/d28c364e/Tottenham-Hotspur-Burnley-February-28-2021-Premier-League
18,2020-11-06,Wed,Matchweek 29,Home,D 1–1,Burnley,Leicester City,Y*,CB,90,0,0,0,0,1,0,0,0,43,0,0,2,0.1,0.1,0.0,0,0,22,33,66.7,1,14,0,0,0,/en/matches/5e1c69aa/Burnley-Leicester-City-March-3-2021-Premier-League
19,2020-11-06,Sat,Matchweek 27,Home,D 1–1,Burnley,Arsenal,Y*,CB,90,0,0,0,0,0,0,0,0,72,1,2,4,0.0,0.0,0.0,1,0,44,59,74.6,3,19,0,0,0,/en/matches/db9a5ac8/Burnley-Arsenal-March-6-2021-Premier-League
20,2020-11-06,Sat,Matchweek 28,Away,W 2–1,Burnley,Everton,Y*,CB,90,0,0,0,0,2,0,0,0,39,0,1,3,0.2,0.2,0.0,0,0,15,24,62.5,1,10,0,0,0,/en/matches/91cce376/Everton-Burnley-March-13-2021-Premier-League
21,2020-11-06,Sun,Matchweek 30,Away,L 2–3,Burnley,Southampton,Y*,CB,90,0,0,0,0,1,0,0,0,44,1,0,3,0.0,0.0,0.0,1,1,21,29,72.4,0,21,0,0,0,/en/matches/2c313b76/Southampton-Burnley-April-4-2021-Premier-League
22,2020-11-06,Sun,Matchweek 31,Home,L 1–2,Burnley,Newcastle Utd,Y*,CB,90,0,0,0,0,3,0,0,0,62,1,2,0,0.3,0.3,0.0,2,0,35,46,76.1,2,26,0,0,0,/en/matches/daebaaa1/Burnley-Newcastle-United-April-11-2021-Premier-League
23,2020-11-06,Sun,Matchweek 32,Away,L 1–3,Burnley,Manchester Utd,Y*,CB,90,0,0,0,0,0,0,0,0,37,1,3,2,0.0,0.0,0.0,1,0,13,23,56.5,2,14,0,0,0,/en/matches/3e00561f/Manchester-United-Burnley-April-18-2021-Premier-League
24,2020-11-06,Sun,Matchweek 33,Away,W 4–0,Burnley,Wolves,Y*,CB,90,0,0,0,0,0,0,0,0,37,0,3,1,0.0,0.0,0.0,0,0,20,28,71.4,3,16,0,0,0,/en/matches/5656770f/Wolverhampton-Wanderers-Burnley-April-25-2021-Premier-League
25,2020-11-06,Mon,Matchweek 34,Home,L 1–2,Burnley,West Ham,Y*,CB,90,0,0,0,0,0,0,1,0,59,0,1,3,0.0,0.0,0.0,0,0,36,51,70.6,2,26,0,0,0,/en/matches/a89e62a7/Burnley-West-Ham-United-May-3-2021-Premier-League
26,2020-11-06,Mon,Matchweek 35,Away,W 2–0,Burnley,Fulham,Y*,CB,90,0,0,0,0,1,1,0,0,28,0,1,2,0.1,0.1,0.1,1,0,10,19,52.6,3,8,0,0,0,/en/matches/430d879c/Fulham-Burnley-May-10-2021-Premier-League
27,2020-11-06,Sat,Matchweek 36,Home,L 0–4,Burnley,Leeds United,Y*,CB,90,0,0,0,0,1,0,0,0,56,2,1,1,0.0,0.0,0.2,3,0,35,48,72.9,5,34,0,0,0,/en/matches/18d42916/Burnley-Leeds-United-May-15-2021-Premier-League
28,2020-11-06,Wed,Matchweek 37,Home,L 0–3,Burnley,Liverpool,Y*,CB,90,0,0,0,0,2,0,0,0,45,3,2,5,0.2,0.2,0.0,0,0,21,27,77.8,1,19,0,0,0,/en/matches/33d72496/Burnley-Liverpool-May-19-2021-Premier-League
