,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,2020-01-29,Wed,Premier League,Matchweek 18,Home,L 0–2,West Ham,Liverpool,Y,CB,90,0,0,0,0,0,0,1,0,30.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,17.0,22.0,77.3,1.0,12.0,0.0,0.0,0.0,/en/matches/7b057bc1/West-Ham-United-Liverpool-January-29-2020-Premier-League,0.0,0.1666666666666666,0.5
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,2020-02-01,Sat,Premier League,Matchweek 25,Home,D 3–3,West Ham,Brighton,Y,CB,90,1,0,0,0,1,1,0,0,39.0,0.0,5,2.0,0.2,0.2,0.0,0.0,0.0,18.0,28.0,64.3,2.0,13.0,0.0,0.0,0.0,/en/matches/14d877cc/West-Ham-United-Brighton-and-Hove-Albion-February-1-2020-Premier-League,0.5,0.0,0.5
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,2020-02-19,Wed,Premier League,Matchweek 26,Away,L 0–2,West Ham,Manchester City,Y,CB,90,0,0,0,0,0,0,0,0,31.0,0.0,3,1.0,0.0,0.0,0.0,0.0,0.0,10.0,16.0,62.5,0.0,11.0,0.0,0.0,0.0,/en/matches/bc091e86/Manchester-City-West-Ham-United-February-19-2020-Premier-League,0.0,0.1666666666666666,0.5
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,2020-02-24,Mon,Premier League,Matchweek 27,Away,L 2–3,West Ham,Liverpool,Y,CB,90,1,0,0,0,1,1,1,0,37.0,1.0,1,3.0,0.1,0.1,0.0,0.0,0.0,10.0,14.0,71.4,1.0,4.0,0.0,1.0,1.0,/en/matches/3aee1ba7/Liverpool-West-Ham-United-February-24-2020-Premier-League,0.0,0.1666666666666666,0.5
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2020-02-29,Sat,Premier League,Matchweek 28,Home,W 3–1,West Ham,Southampton,Y,CB,90,0,0,0,0,1,0,0,0,35.0,1.0,2,2.0,0.1,0.1,0.0,0.0,0.0,12.0,18.0,66.7,0.0,7.0,0.0,0.0,0.0,/en/matches/2cb790f2/West-Ham-United-Southampton-February-29-2020-Premier-League,1.0,0.1666666666666666,0.5
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,2020-03-07,Sat,Premier League,Matchweek 29,Away,L 0–1,West Ham,Arsenal,Y,CB,90,0,0,0,0,1,0,0,0,35.0,2.0,3,1.0,0.1,0.1,0.5,1.0,0.0,13.0,21.0,61.9,2.0,9.0,0.0,0.0,0.0,/en/matches/bf382825/Arsenal-West-Ham-United-March-7-2020-Premier-League,0.0,0.3333333333333333,0.5
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,2020-06-20,Sat,Premier League,Matchweek 30,Home,L 0–2,West Ham,Wolves,Y,CB,90,0,0,0,0,0,0,0,0,44.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,32.0,40.0,80.0,2.0,28.0,0.0,0.0,0.0,/en/matches/6ddd148a/West-Ham-United-Wolverhampton-Wanderers-June-20-2020-Premier-League,0.0,0.3333333333333333,0.5
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,2020-06-23,Tue,Premier League,Matchweek 31,Away,L 0–2,West Ham,Tottenham,Y,CB,90,0,0,0,0,1,0,0,0,38.0,0.0,1,1.0,0.1,0.1,0.0,0.0,0.0,27.0,29.0,93.1,1.0,19.0,0.0,0.0,0.0,/en/matches/8fc12d99/Tottenham-Hotspur-West-Ham-United-June-23-2020-Premier-League,0.0,0.3333333333333333,0.5
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,2020-07-01,Wed,Premier League,Matchweek 32,Home,W 3–2,West Ham,Chelsea,Y,CB,90,0,0,0,0,0,0,0,0,23.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,71.4,0.0,5.0,0.0,0.0,0.0,/en/matches/5df18070/West-Ham-United-Chelsea-July-1-2020-Premier-League,1.0,0.0,0.5
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,2020-07-05,Sun,Premier League,Matchweek 33,Away,D 2–2,West Ham,Newcastle Utd,Y,CB,90,0,0,0,0,2,1,0,0,39.0,0.0,2,0.0,0.1,0.1,0.1,1.0,0.0,23.0,30.0,76.7,1.0,21.0,0.0,0.0,0.0,/en/matches/3d549d43/Newcastle-United-West-Ham-United-July-5-2020-Premier-League,0.5,0.3333333333333333,0.5
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,2020-07-08,Wed,Premier League,Matchweek 34,Home,L 0–1,West Ham,Burnley,Y,CB,90,0,0,0,0,0,0,0,0,42.0,1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,23.0,34.0,67.6,0.0,20.0,0.0,0.0,0.0,/en/matches/5c57bea6/West-Ham-United-Burnley-July-8-2020-Premier-League,0.0,0.5,0.5
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,2020-07-11,Sat,Premier League,Matchweek 35,Away,W 4–0,West Ham,Norwich City,Y,CB,90,0,1,0,0,0,0,0,0,49.0,0.0,0,2.0,0.0,0.0,0.3,1.0,1.0,34.0,43.0,79.1,2.0,34.0,0.0,1.0,0.0,/en/matches/1f633005/Norwich-City-West-Ham-United-July-11-2020-Premier-League,1.0,0.5,0.5
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,2020-07-17,Fri,Premier League,Matchweek 36,Home,W 3–1,West Ham,Watford,Y,CB,90,0,0,0,0,1,0,0,0,24.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,37.5,0.0,10.0,0.0,0.0,0.0,/en/matches/249bbdaa/West-Ham-United-Watford-July-17-2020-Premier-League,1.0,0.5,0.5
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,2020-07-22,Wed,Premier League,Matchweek 37,Away,D 1–1,West Ham,Manchester Utd,Y,CB,90,0,0,0,0,0,0,0,0,45.0,0.0,4,2.0,0.0,0.0,0.0,1.0,0.0,27.0,33.0,81.8,1.0,25.0,0.0,0.0,0.0,/en/matches/bf25e016/Manchester-United-West-Ham-United-July-22-2020-Premier-League,0.5,0.6666666666666666,0.5
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,2020-07-26,Sun,Premier League,Matchweek 38,Home,D 1–1,West Ham,Aston Villa,Y,CB,90,0,0,0,0,0,0,0,0,56.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,48.0,77.1,1.0,35.0,0.0,0.0,0.0,/en/matches/a3f59c8e/West-Ham-United-Aston-Villa-July-26-2020-Premier-League,0.5,0.8333333333333334,0.5
